 Тег (H1),ID в админке,inlinks (Куда) Перелинковка,Верхняя перелинковка,Ссылка с главной,"Базовая частота ""W""","Базовая частота ""W"" в месяц",Наличие курсов,Стаус,Раздел,SEO,URL,Символьный код,Title,Description,H1,ТЗ на текст,Статус SEO,Текст,Статус вплетение интентов,Статус текст,Графика,Статус графики,Видео,КМ,Статус публикации,Проверяющий,Статус страницы,Коммментрий,Индексирование,Автор,ТЗ на улучшение,ID Родительского листинга,Outlinks (Откуда) Каталог,Inlinks (Куда) Каталог
Обучение искусственному интеллекту,24,,"27,14,11,15,12,10,26,20",FALSE,291 667,79 432,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/iskusstvennyj-intellekt/,iskusstvennyj-intellekt,Курсы по искусственному интеллекту с нуля - обучение специалистов онлайн,Список курсов по созданию искусственного интеллекта. Получи образование в области машинного обучения. Только проверенные предложения с актуальными условиями.,Курсы по искусственному интеллекту,https://docs.google.com/document/d/1ALc5gpBrVY97Wa4xSZvFnDJxA_VMjagWkWaA4JLYdGQ/edit,Готово,https://docs.google.com/document/d/1jX9HYdsRVNpPIOj4PXQhNlysGNGfpyevV0TnaW5zfao/edit#heading=h.c0tpk2sri66j,Не в работе,Готово,https://drive.google.com/file/d/10Dj-inyyXN-yEs6RXbLJliXH_7SkcM6g/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,27,Курсы машинного обучения,
Курсы бизнес-аналитики,21,,"12,10,22,28,18,25,30,23,29",TRUE,37 125,3 759,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/biznes-analitika/,biznes-analitika,Курсы бизнес-аналитики - обучение с нуля онлайн,Курсы бизнес-аналитики с нуля. Сравнение программ обучения онлайн-школ. Вы научитесь делать выводы на основе данных и находить точки роста бизнеса.,Курсы бизнес-аналитики,https://docs.google.com/document/d/1X9MJZcG3HbfPbwyUIJINxgYOeuq-1VHyBaDJ7mzefBs/edit,Готово,https://docs.google.com/document/d/12tQQ2cZYwQy5AJTZByb47DQkLhsHJzwARWb1y8Zw1gk/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1-E0_dE5FcYyT-JrRJIBsEFhIrBCg5LC0/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы Data Science,12,,"26,10,14,27,11,19,16,20,22",TRUE,29 493,2 960,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/data-science/,data-science,Курсы Data Science - обучение с нуля в лучших онлайн-школах,Курсы по Data Science с обучением с нуля. Сравнение предложений лучших онлайн-школ в нашей подборке. Любите работать с цифрами? Тогда эти курсы для вас.,Курсы Data Science,https://docs.google.com/document/d/1caFuWtKHnoAOBKSj8GwvM28wdTQD1PgDm71NQq3Jiys/edit,Готово,https://docs.google.com/document/d/18WPXgnCpUUTF7HDA5RBN8U6N-5grcDvB1utls1YrJUI/edit,Не в работе,Готово,https://drive.google.com/file/d/1uDPKSrjhQgnzUlNV9lcA0GZ6dNYZXk6e/view?usp=share_link,Готово,https://www.youtube.com/watch?v=XvazEJFDlE8&t=20s,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы системной аналитики,29,,"21,22,30,17,13,23,12,10,27",FALSE,25 659,2 429,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/sistemnaya-analitika/,sistemnaya-analitika,Курсы системного аналитика - обучение с нуля в лучших онлайн-школах,"Мы собрали для список курсов по системной аналитике. Выберите подходящую программу обучения, сравнив условия и отзывы учеников. Получи востребованную профессию онлайн.",Курсы системной аналитики,https://docs.google.com/document/d/1mP-qAU3mjDxEg-06kDIoMUM54MlX1VQpfIX8nhMoSTI/edit,Готово,https://docs.google.com/document/d/1NLTIwBL6ebKftYMwCaUJUznzbm62sU_dxWhJEc-A7Bs/edit,Не в работе,Готово,https://drive.google.com/file/d/1KVq2Tjj-kxbuHHoFy5ti4kXnHCg6NpU8/view,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы финансового аналитика,30,,"21,22,23,29,12,10,17,16",FALSE,21 660,2 299,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/finansovaya-analitika/,finansovaya-analitika,Курсы финансового аналитика - обучение дистанционно с нуля,Агрегатор лучших онлайн-курсов по финансовой аналитике. Современная программа и профессиональные преподаватели сделают вас востребованным специалистом.,Курсы финансового аналитика,https://docs.google.com/document/d/1Rk8L-5mDxmYH9p8b-5SSXhQ7f3THbTtTSW33R2URNXU/edit,Готово,https://docs.google.com/document/d/1ZYceJ6pkonOFwglsjC11upUt6UvyZma2sQa4UuhFMq4/edit,Не в работе,Готово,https://drive.google.com/file/d/1Qw7RJYD-m7pDj-Jtk8dFKpG7glKLNAun/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы машинного обучения,27,,"24,14,11,12,10,15,26",TRUE,34 743,2 070,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/mashinnoe-obuchenie/,mashinnoe-obuchenie,Курсы по машинному обучению с нуля онлайн,Курсы по машинному обучению онлайн. Список программ обучения популярных онлайн-школ. Реальные отзывы и актуальные условия помогут вам с выбором.,Курсы по машинному обучению,https://docs.google.com/document/d/1HMLRVqDOFhIxqy5CqXqzviabaH4B9-2VjD-phszB-DA/edit,Готово,https://docs.google.com/document/d/1TkTRWJZAYbP-VQs9VPMgzvcZRfwZYYv31nN2x0AR8VU/edit,Не в работе,Готово,https://drive.google.com/file/d/1oDSFDDtrTfpRfsHjHZWKRI556ou1ZzeL/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Обучение Big Data,10,,"12,27,26,14,20,11,19,17,16",FALSE,12 031,849,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/big-data/,big-data,Обучение Big Data - курсы от лучших онлайн школ,Хочешь стать профессионалом в больших данных? Тогда выбирай курс и становись специалистом по Big Data с нуля. Получи достойную и востребованную профессию сейчас.,Курсы Big Data,https://docs.google.com/document/d/1BEs_7oBWyREE50N09DJtq5_4I6sWCuGpdsCOuy10aDY/edit,Готово,https://docs.google.com/document/d/1hdsT1bKHqlrKb89hL1pDfgBRFeFkeBPFwjlFVsEQ3gc/edit,Не в работе,Готово,https://drive.google.com/file/d/1pYbzV-scaCa66eBly3lURjLkTQtxuQXr/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы веб-аналитики,22,,"21,12,10,28,25,16,17





",FALSE,8 746,799,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/veb-analitika/,veb-analitika,Курсы веб-аналитики - обучение с нуля онлайн,Лучшие онлайн-курсы по веб-аналитике. Вы научитесь настраивать основные системы аналитики и анализировать трафик. Станете обладателем востребованной профессии.,Курсы веб-аналитики,https://docs.google.com/document/d/1LteKqcQtGS26Edemp3TYoGiyO-Ypzmc7uS38nHFUwSI/edit,Готово,https://docs.google.com/document/d/1GnF-xziatHXBnFg3OAy_0UXWFQOrbVWNgsYICV9kr7Q/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1QAGy6xjSEqpAhEINh7QVpBg2QhnRbkod/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы продуктовой аналитики,28,,"25,21,22,20,19,12,10",FALSE,9 742,770,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/produktovaya-analitika/,produktovaya-analitika,Курсы продуктовой аналитики - обучение с нуля онлайн,Лучшие онлайн-курсы по продуктовой аналитике. Вы научитесь добывать и анализировать данные о продукте. Только актуальные условия обучения и отзывы учеников.,Курсы продуктовой аналитики,https://docs.google.com/document/d/1cFkVJZOgpjOjNt94wKM9K0zbSPEVlHvGnMa2hwDZkH0/edit,Готово,https://docs.google.com/document/d/1sesnICP-bhUupgBt7u0iuvlL201EFx-AjzZQ3FUhVAo/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1Ot6HbZRE8umBORIjTuRtppr6Dc3V8CTP/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы Data Engineering,11,,"15,12,10,27,24,14,26,16",TRUE,4 616,481,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/data-engineering/,data-engineering,Курсы Data Engineer - обучение онлайн с нуля,"Лучшие онлайн-курсы по Data Engineer. Подойдут как новичкам в сфере работы с базами данных, так и действующим специалистам. Актуальные условия и отзывы учеников.",Курсы Data Engineering,https://docs.google.com/document/d/14KirpUyfshppe9uNCsrJldDhUaleo1uJpBcBtnv9acM/edit,Готово,https://docs.google.com/document/d/1jQ0zxxHOqXkZipDCUVSGhvcvceztiT-o3rnYWVT0f-s/edit,Не в работе,Готово,https://drive.google.com/file/d/1XACLN_tMsqR1SF_A8wWaqhz4zXNqxGWH/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Обучение Deep Learning,14,,"27,24,12,10,11,26,20,19",FALSE,5 342,441,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/deep-learning/,deep-learning,Курсы по Deep Learning - обучение с нуля в лучших онлайн школах с отзывами,Онлайн-курсы Deep Learning (Глубокое обучение). Сравните и выберете подходящий вам курс по машинному обучению. Реальные оценки и отзывы от людей. ,Курсы Deep Learning,https://docs.google.com/document/d/1V9UFDUfUBMlYjYTsNu52uCDaPUIOw-7O3bA9e9EpFbw/edit?usp=sharing,Готово,https://docs.google.com/document/d/1rfvvmlDILtW7AKKyMjcYkEmR2hcwnxSikoNqgptT6Cg/edit,Не в работе,Готово,https://drive.google.com/file/d/1jEq-p53disTy53EFsfkijdQVTRJnLYx-/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,27,Курсы машинного обучения,
Курсы Python-аналитика,19,,"12,10,20,16,21,30,23,29,14",FALSE,7 159,403,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/python/,python,Курсы Python для анализа данных - обучение с нуля онлайн,Мы подобрали для вас лучшие курсы по Python-аналитике. Сравните предложения онлайн-школ и выберете подходящее. Только проверенные предложения проверенные пользователями.,Курсы Python-аналитика,https://docs.google.com/document/d/1D4yZgD75lK8er0tP5pjffXUECfP0LpwMFxKSxpitCg8/edit?usp=sharing,Готово,https://docs.google.com/document/d/1Dn0Z7GTv7PpHQqDlQYsO8vJDvibUyl16WOUxkDf4RpE/edit?usp=share_link,Не в работе,Готово,https://drive.google.com/file/d/1s2FTq9drDmpoPmvtXugsDOzcNMZPG6Yq/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы маркетинговой аналитики,25,,"21,22,28,18,30,23,29,17",FALSE,4 060,302,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/marketingovaya-analitika/,marketingovaya-analitika,Курсы маркетинговой аналитики - обучение в лучших онлайн-школах,Лучшие курсы по маркетинговой аналитике. Обучение работе с данными в области продаж. Список актуальных предложений от онлайн-школ.,Курсы маркетинговой аналитики,https://docs.google.com/document/d/17WFloS86-rFTCix-lL1cFRUpx31vOFRDu5t1yXq_PYc/edit,Готово,https://docs.google.com/document/d/1mJ-9jNd0v8jKgovv8jfs0cbRBVysxs_k84TxaN8NMfw/edit,Не в работе,Готово,https://drive.google.com/file/d/1oDx53TgaPYn4RknsQE5lt2PRrCAzpv6P/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курс UX-аналитике,18,,"21,28,12,10,25,16,13,17",FALSE,3 366,203,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/ux-analitika/,ux-analitika,Курсы UX-аналитики - обучение с нуля онлайн,Хочешь стать UX-аналитиком? Список предложений онлайн-школ. Выбери программу обучение из нашей подборки. Только актуальные условия и отзывы учеников.,Курс по UX-аналитике,https://docs.google.com/document/d/1oXRUkIn-Tk9Ae7gfPmh12Cjs6H1ZtsWiaIPh18VEW6U/edit,Готово,https://docs.google.com/document/d/139qS4opezzDdhOZ2O-ezPaFffSvih8T6Vl92fU5_SLw/edit,Не в работе,Готово,https://drive.google.com/file/d/1QIxhAHL2Rx4iVWyDuTj5mOVnW0P68t0C/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы аналитики SQL ,20,,"12,10,19,14,21,22,16,13",FALSE,1 968,180,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/sql/,sql,Курсы аналитики SQL - обучение в лучших онлайн-школах с нуля ,"Рейтинг курсов по аналитике SQL. Вы освоите язык запросов и с его помощью сможете самостоятельно получать нужные данные, сопоставлять и анализировать их.",Курсы аналитики SQL ,https://docs.google.com/document/d/13cnogg_K0zvHymoGtFISuG5zB7O0BRNNTBfNakF9SfU/edit,Готово,https://docs.google.com/document/d/1zcGaNanVD4v4Q_n-Nfe30JSbBSlbq7UFrncAKQxiSkg/edit,Не в работе,Готово,https://drive.google.com/file/d/1f1lfp6EBAvzXlE4XhKpoyWkFkQH__Cde/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы математики для Data Science,26,,"12,10,21,22,27,11,16,17",FALSE,3 119,162,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/matematika-dlya-data-science/,matematika-dlya-data-science,Курсы математика для Data Science - онлайн-обучение для начинающих ,Онлайн-курсы по математике для анализа данных и Data Science. Начните обучение и станьте востребованным специалистом. Сравните и выберите подходящее предложение. ,Курсы математика для Data Science,https://docs.google.com/document/d/1-HBn_usija24hM683pJA-XJc8nK3gfuwmggyx8-Y-1Y/edit?usp=sharing,Готово,https://docs.google.com/document/d/1EUb4mdXcFGAMDJdDUbJXidED_ZMDzIFnM2aCWlpUZ08/edit#,Не в работе,Готово,https://drive.google.com/file/d/1_39lRBIbcZzEB8eHaz89m45a4kx82GWo/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы инвестиционной аналитики,23,,"30,29,21,17,28,25,12,10",FALSE,1 136,118,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/investitsionnaya-analitika/,investitsionnaya-analitika,Курсы инвестиционной аналитики - обучение для начинающих онлайн,Инвестиционный аналитик обучение в топовых школах. Обучись фундаментальному анализу рынка. Стань востребованным специалистом в компании или инвестируй для себя. ,Курсы инвестиционной аналитики,https://docs.google.com/document/d/1sptZjhCX5Q4-BdeSUn8usuSdMmLMccmL2gGHKaGrz9E/edit,Готово,https://docs.google.com/document/d/1M9byZqiplljTJJvfGGkZjAOhHMTv5TwJzdRGLXo3ADo/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/184O4DpVzh1irhyMJjNd8XwnCJ6penPvj/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы Tableau,17,,"12,10,20,19,21,30,23,29",FALSE,1 057,105,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/tableau/,tableau,Курсы по Tableau - обучение в лучших онлайн-школах,Курсы по Tableau для начинающих. Подборка программ обучения от лучших онлайн-школ. Научись комбинировать данные и строить графики. Актуальные условия предложений.,Курсы по Tableau,https://docs.google.com/document/d/1OTwpg0iqmGg7bBNzPLAjoiQMpT7WWDFnnfe4mythmoE/edit?usp=sharing,Готово,https://docs.google.com/document/d/1b25-0aatJzhw_UUgwnY68ghzquBJeabncY3OzRqEOHg/edit,Не в работе,Готово,https://drive.google.com/file/d/133ZIAMlMOsn--BDTX-LISluQ956UscWq/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы аналитики Power BI,16,,"12,10,21,30,23,29,20,17",FALSE,903,60,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/power-bi/,power-bi,Курсы Power BI аналитики - обучение с нуля онлайн,Мы подобрали для вас лучшие онлайн-курсы Power BI-аналитик. Ознакомьтесь со всеми предложениями из каталога. Современный инструмент для отета и аналиа данных в бизнесе. ,Курсы по аналитике Power BI,https://docs.google.com/document/d/11t0LgBXWBfCU3pxYUs3hDUUW9hq0sguHsUIT4u2Cb0g/edit,Готово,https://docs.google.com/document/d/1nrMNT61SB9yyAx0N2X8g5n5YjsH_aCkAtscipa_JbpE/edit,Не в работе,Готово,https://drive.google.com/file/d/1FKLhZ3ZeK6eOtq2SrpKnmIxyaqrMh0s5/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
Курсы ETL,15,,"11,27,24,14,12,10,26,20,19",FALSE,560,50,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/etl/,etl,Курсы ETL - обучение разработчиков с нуля онлайн,Список лучших онлайн-курсов по разработке ETL-процессов. Сравни условия программ обучения и отзывы учеников. Только проверенные предложения. ,Курсы ETL,https://docs.google.com/document/d/13xcr6ts47RteIyDcGt5kPmgDmOKKk4VoQQka6FcMeWc/edit,Готово,https://docs.google.com/document/d/1FS-wGiqRRxK_Hb68tNSO7VTqk3vwK6z-t2CeQS-mas0/edit,Не в работе,Готово,https://drive.google.com/file/d/1MMPKv9hf7h1BqqYrcvriV4hbZQx9go2D/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,11,Курсы Data Engineering,
Обучение Data Studio,13,,"12,10,21,22,16,18,20,30,23,29",FALSE,261,23,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/data-studio/,data-studio,Курсы по Data Studio - обучение для начинающих онлайн,Хочешь анализировать данные быстрее чем твои коллеги? Тогда тебе подойдут курсы по аналитике в Data Studio. Выбери подходящую программу обучения из нашего рейтинга.,Курсы Data Studio,https://docs.google.com/document/d/11eOX1zVkEVm0KFmCy_S4IV1TSoedBLNKJdsmeqfLqRE/edit?usp=sharing,Готово,https://docs.google.com/document/d/1F5B_DokEyopxUEANLqMYt_6DVx1y_i--_xd8iRdH27g/edit,Не в работе,Готово,https://drive.google.com/file/d/1Xsx2WgxFhlnuoGpKdt71Zy3mZbt1sAxR/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,9,Курсы аналитики данных,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Курсы дизайна,117,,"160,163,155,153,159,147,151,149,122,144,156,152,843",TRUE,1 125 650,93 804,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/,dizajn,Курсы дизайнера - обучение в онлайн-школе для начинающих,"Онлайн-курсы по дизайну для начинающих. Ознакомьтесь с дистанционными программами обучения, их условиями и отзывами пользователей. Станьте специалистом в сфере дизайна.",Курсы по дизайну,https://docs.google.com/document/d/1lcdNC1OOQN5fnFX1aJH2fddnUwUZK1yUO8qwmTBSKNE/edit,Готово,https://docs.google.com/document/d/1TSid8EhavMAPEbOmXUwEskDezK-0od2MsZ6Lk1U4mik/edit#heading=h.c3hzhnbmed0a,Не в работе,Готово,https://drive.google.com/file/d/1zegwYyLYxJGy6GQJE3BTR8sG_VbccNXC/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,,Главная,
